source,make,model,year,mileage_km,engine_cc,transmission,price_kes,price_usd,location,url,scraped_at
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars/search?make_id%5B%5D=2&model%5B%5D=CAMRY%2CCOROLLA+AXIO%2CCOROLLA+FIELDER&year__from=2020&is_new_available=0&country=26&port=52&shipment=1&currency=usd&freight=0&inspection=yes&insurance=yes&s=manufacture_year,2026-06-24T06:00:58.875Z
SBT Japan,Toyota,Unknown,,,,,,,,https://www.sbtjapan.com/,2026-06-24T06:03:01.577Z
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars/search?make_id=5&model%5B%5D=CX5&isModel=1,2026-06-24T06:03:14.729Z
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars/search?make_id%5B%5D=5&model%5B%5D=CX5&year__from=2020&is_new_available=0&country=26&port=52&shipment=1&currency=usd&freight=0&inspection=yes&insurance=yes&isModel=1,2026-06-24T06:03:41.117Z
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars,2026-06-24T06:08:07.983Z
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars/search?make_id=4&model%5B%5D=VEZEL&isModel=1,2026-06-24T06:08:20.618Z
SBT Japan,Honda,Reviews,2020,,,,,113,,https://www.yotpo.com/?utm_campaign=branding_link_reviews_widget_v2&utm_medium=widget&utm_source=sbtjapan.com,2026-06-24T06:10:33.221Z
SBT Japan,Honda,bought,2022,,,,,,,https://www.sbtjapan.com/used-cars/AK8054,2026-06-24T06:10:37.822Z
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars/search?make_id=2&model%5B%5D=LAND%20CRUISER%20PRADO&isModel=1,2026-06-24T06:11:42.146Z
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars/search?make_id%5B%5D=2&model%5B%5D=LAND+CRUISER+PRADO&year__from=2020&is_new_available=0&country=26&port=52&shipment=1&currency=usd&freight=0&inspection=yes&insurance=yes&isModel=1,2026-06-24T06:12:59.997Z
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars/search?make_id%5B%5D=2&model%5B%5D=FJ+CRUISER%2CLAND+CRUISER+FJ%2CLAND+CRUISER+PRADO&year__from=2020&is_new_available=0&country=26&port=52&shipment=1&currency=usd&freight=0&inspection=yes&insurance=yes&isModel=1,2026-06-24T06:14:17.374Z
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars/search?make_id=2&body_type=SUV,2026-06-24T06:16:06.429Z
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars/search?make_id%5B%5D=2&body_type=SUV&year__from=2020&is_new_available=0&country=26&port=52&shipment=1&currency=usd&freight=0&inspection=yes&insurance=yes,2026-06-24T06:16:17.161Z
SBT Japan,Mazda,CX5,,,,,,,,https://www.sbtjapan.com/used-cars/search?make_id%5B%5D=2&model%5B%5D=HARRIER+PHEV%2CHIGHLANDER%2CHILUX&body_type=SUV&year__from=2020&is_new_available=0&country=26&port=52&shipment=1&currency=usd&freight=0&inspection=yes&insurance=yes,2026-06-24T06:20:00.294Z
